MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
71658984,8.0,7.5,8.0,8.0,9.0,7.0,8.0,8.0,8.0,8.5,1,1,0
72009848,9.0,7.0,6.5,7.0,4.5,6.5,5.5,8.0,6.0,5.0,0,0,0
72079122,8.5,8.5,8.5,9.5,10.0,8.0,8.0,9.5,8.5,8.5,0,0,0
72911655,7.0,6.0,2.0,2.0,3.5,6.5,7.0,6.5,6.5,2.0,0,0,0
73252363,9.0,8.0,6.0,7.5,6.5,7.0,8.0,9.0,8.0,8.5,1,0,0
73476291,9.5,7.5,9.0,8.0,7.5,10.0,8.5,8.0,8.5,8.5,0,0,0
74234424,7.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,7.5,7.5,1,1,0
74262615,7.5,6.0,5.0,8.5,6.0,7.5,7.0,7.0,6.5,7.0,0,0,0
74450100,8.0,6.5,7.5,7.5,8.5,9.0,8.5,8.0,8.0,7.0,0,1,1
74557733,8.5,7.0,8.0,7.0,6.0,8.5,8.0,9.0,7.0,7.5,0,0,0
74657859,8.0,7.5,7.0,8.0,7.5,8.0,7.5,8.0,7.5,8.5,0,0,0
75128164,7.5,7.5,6.5,7.0,8.5,8.5,8.5,8.0,8.5,9.5,1,0,0
75481692,7.0,5.5,6.5,9.0,6.5,7.5,7.5,7.0,7.5,7.5,0,0,0
75524015,8.0,8.0,7.0,9.0,9.5,7.5,7.5,8.0,6.5,8.0,0,0,0
75925432,8.0,8.5,9.0,8.0,6.0,8.5,8.0,8.5,8.5,8.0,1,0,1
76146928,8.0,7.5,7.0,7.0,8.0,9.0,8.5,7.5,7.0,8.5,0,0,0
76462579,6.5,9.0,6.0,5.5,8.0,6.5,8.5,8.0,5.5,8.5,1,0,0
76861612,7.5,8.0,8.0,8.0,8.5,8.5,9.0,9.5,8.0,8.5,0,1,1
77478107,9.0,9.5,9.0,10.0,9.5,9.0,8.5,8.0,9.0,8.5,0,0,0
77500549,9.0,7.0,9.0,9.5,9.5,9.0,8.5,9.0,9.0,9.0,0,0,0
79090637,7.0,5.5,5.0,7.5,7.0,0.0,6.0,6.0,6.0,6.0,1,0,0
79614707,8.5,7.5,7.0,8.0,8.5,9.5,8.0,8.0,8.0,9.0,0,0,0
79865927,7.5,7.5,7.5,8.0,8.5,8.0,8.0,7.5,7.0,8.0,1,1,0
80689906,8.5,7.0,9.0,8.5,7.0,8.5,7.5,8.5,8.0,8.5,0,0,0
