MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
31305086,7.5,8.0,7.5,7.0,7.0,7.5,8.5,8.0,8.0,7.5,0,1,1
31324740,6.5,6.5,5.5,5.5,6.0,3.0,6.5,6.5,5.0,7.0,1,1,0
31356670,8.5,8.0,7.5,7.5,8.5,8.0,7.5,9.5,8.5,8.0,0,1,0
31557376,9.5,6.5,8.5,9.5,8.5,8.5,8.0,8.0,8.0,9.0,0,0,0
31838373,9.0,8.0,8.5,6.5,6.5,8.0,8.5,9.0,7.5,8.0,0,0,0
31933277,9.5,5.5,6.5,8.0,6.0,7.0,6.5,6.5,7.0,7.5,0,0,0
32292195,8.0,8.0,8.0,7.5,8.0,8.5,8.0,8.0,7.0,9.0,0,0,0
32698623,8.0,7.0,7.5,7.5,8.0,7.0,8.5,6.0,7.5,9.0,1,0,0
32774418,5.0,7.0,6.0,6.0,8.0,5.0,8.0,7.0,6.5,7.5,1,1,1
33352887,8.0,6.5,4.5,1.5,5.5,6.5,7.0,6.0,6.5,6.5,0,0,0
33526074,7.5,6.5,8.0,5.0,8.0,7.0,5.5,8.0,6.5,7.5,1,0,1
33647424,7.0,6.5,6.0,6.0,7.0,6.5,7.5,7.5,7.0,7.5,1,0,1
33809225,8.5,6.0,6.0,8.0,5.0,7.0,7.0,4.5,5.5,5.5,0,0,0
33926743,8.0,6.0,6.0,8.0,4.5,6.5,8.0,8.0,7.5,9.0,0,0,0
34090239,7.0,4.5,5.0,5.0,5.0,6.5,7.5,5.5,5.0,7.0,0,0,0
34222318,8.5,8.5,7.5,9.5,10.0,8.5,8.0,8.0,7.0,7.0,0,0,0
34826077,7.5,5.5,6.0,5.5,2.0,6.5,6.0,6.5,7.0,6.5,0,0,0
35534748,8.0,7.5,5.5,9.0,7.5,7.0,7.5,7.5,9.5,8.5,1,1,1
35573553,7.0,9.0,5.0,6.5,5.0,6.5,6.5,5.5,7.0,7.0,1,1,0
35795985,7.5,9.0,6.5,6.5,9.5,8.0,9.0,9.0,9.5,8.0,0,0,0
36039886,7.5,7.0,7.0,6.5,7.5,7.5,8.5,8.0,9.0,8.5,1,0,0
36094662,8.0,7.5,7.0,8.0,8.0,8.5,9.5,8.0,8.5,8.5,1,1,0
36232484,7.5,8.5,8.0,6.5,7.0,8.5,9.0,8.5,8.5,8.0,0,0,0
36428051,8.5,6.5,5.0,2.0,3.5,0.0,5.0,6.0,2.0,1.5,0,0,0
36886675,7.0,6.5,7.5,7.5,5.5,7.0,7.5,6.5,5.0,7.5,1,1,1
36920603,9.0,7.5,8.5,8.0,8.5,9.0,8.5,9.0,7.5,8.0,0,0,0
37278813,7.0,7.5,7.0,6.0,9.0,8.0,8.5,7.5,9.5,8.5,1,1,1
37557479,7.5,7.5,8.0,8.0,6.5,8.0,8.5,8.5,7.0,8.0,0,0,0
37734481,7.0,6.5,6.5,5.5,6.5,7.5,8.5,7.0,6.5,6.5,1,1,0
39052159,8.5,8.0,8.0,9.0,8.5,8.5,8.0,8.5,8.5,8.0,0,0,0
39329920,7.5,8.0,6.0,6.5,9.0,7.5,8.5,8.5,7.5,8.5,1,0,1
39509723,6.0,7.5,5.0,6.0,6.0,5.0,8.0,6.5,7.0,6.5,1,1,0
39798894,9.0,5.5,5.5,7.0,7.5,7.0,7.5,7.0,7.0,8.0,0,0,0
39903076,7.5,8.0,7.5,8.5,9.5,8.5,9.5,9.5,8.5,7.0,0,1,0
39972486,7.5,6.5,5.0,8.0,5.0,6.0,5.5,5.5,5.0,8.0,1,0,0
40457740,9.0,7.5,6.5,9.0,7.5,8.5,8.0,8.5,8.0,8.0,0,0,0
40793691,7.0,6.5,6.5,8.5,6.0,7.0,6.0,7.5,6.0,7.5,1,0,1
41047032,7.5,7.0,6.0,5.0,6.5,6.0,8.0,7.5,7.5,7.0,1,1,1
41278711,8.0,8.0,7.5,7.0,9.0,8.5,9.0,8.5,8.5,7.5,0,1,0
41588425,8.5,7.0,7.5,9.5,8.0,8.5,8.0,8.0,8.0,8.5,0,0,0
41646684,7.5,6.0,5.5,7.0,4.0,7.0,5.5,5.5,7.5,5.0,0,0,0
41789860,8.0,8.5,5.5,9.5,6.5,8.0,7.5,8.5,7.5,7.5,0,0,0
41971887,8.0,6.5,5.0,8.0,6.5,8.0,7.5,6.0,0.0,5.5,0,0,0
42048099,6.0,6.0,5.5,6.0,3.0,5.5,6.5,6.0,6.0,6.5,0,0,0
42174647,6.0,7.5,6.5,9.0,7.0,7.5,7.5,8.0,6.5,7.5,1,1,0
42272627,8.0,5.5,6.5,8.0,6.0,7.0,7.5,8.0,8.5,8.0,0,0,0
42332611,8.5,7.0,6.5,7.5,7.0,7.0,7.5,7.5,6.5,8.0,0,0,0
43094634,6.5,6.5,5.0,6.0,5.5,5.5,7.5,6.5,6.5,5.5,1,1,0
43156382,7.0,7.5,7.0,6.0,6.5,6.5,8.0,8.0,7.5,7.0,1,1,0
43839500,8.0,7.5,8.0,7.5,6.5,9.0,7.0,8.0,8.0,8.0,1,0,0
44031234,5.5,5.5,0.0,4.0,0.5,5.5,4.5,4.0,2.0,5.0,0,0,0
44827787,8.5,9.5,9.0,9.5,10.0,9.0,9.5,9.5,9.0,8.5,0,1,0
45704497,8.5,6.5,7.0,7.0,6.0,7.5,7.0,8.5,7.5,8.0,0,0,0
45911967,5.5,6.5,1.0,2.0,0.5,2.0,6.5,3.5,5.0,3.0,0,0,0
46086816,8.5,8.0,9.5,9.0,9.5,9.5,7.5,9.5,8.0,8.5,0,0,0
46293905,6.5,6.5,7.0,5.5,7.0,7.0,7.5,7.0,7.5,7.0,1,0,1
46423293,8.0,7.0,6.0,7.0,6.5,7.0,7.5,9.0,8.0,7.5,0,0,1
46514744,7.5,8.5,7.0,7.0,6.0,6.0,7.5,9.0,8.0,7.5,0,0,0
46604658,6.0,5.0,5.0,4.5,6.0,8.0,7.5,7.0,7.0,6.5,1,0,0
47040071,8.5,7.5,5.0,8.0,6.5,8.0,7.0,7.0,7.0,7.0,0,0,0
47067224,8.0,8.5,9.5,9.0,9.0,9.0,9.0,9.5,8.5,9.5,1,1,0
47149037,8.5,6.5,6.0,7.0,5.5,7.0,7.5,7.0,7.0,6.5,0,0,0
47355539,6.5,4.5,5.5,4.5,1.0,7.0,5.0,6.5,5.5,6.0,1,0,0
47371888,8.0,6.0,5.0,8.0,2.0,7.0,5.5,7.5,0.0,5.5,0,0,0
47792386,8.5,7.0,7.0,5.0,6.0,7.0,7.5,7.5,6.5,7.5,1,0,0
48112741,8.0,9.0,10.0,8.5,9.0,9.0,9.0,8.5,7.5,8.0,0,0,1
48182876,8.0,7.0,6.0,6.0,5.0,6.5,7.0,7.0,5.5,6.5,0,0,0
48465899,7.5,6.5,8.0,7.5,6.5,7.0,9.0,6.5,7.0,5.5,1,1,1
48673746,5.5,6.0,7.0,7.0,7.5,7.0,8.0,8.0,7.5,7.0,1,1,0
48732179,7.0,7.5,5.0,7.5,7.5,6.5,6.5,7.0,6.5,7.0,1,0,0
49224850,6.0,7.5,8.0,6.0,7.5,6.5,7.5,6.5,7.0,7.0,1,1,0
49313063,8.5,7.0,5.0,7.0,5.5,8.0,7.5,7.5,7.5,7.0,0,0,0
49322861,7.5,7.5,7.0,8.0,8.5,8.0,9.5,8.5,9.0,8.0,0,1,0
49455568,8.0,6.5,6.0,7.5,8.5,6.5,7.0,7.0,7.5,8.0,1,1,0
49483298,8.5,7.5,8.0,8.5,7.0,8.5,7.5,8.5,8.0,9.0,0,0,0
49538429,7.5,7.5,6.5,8.0,8.5,8.0,7.0,8.0,8.5,8.0,1,1,0
49569301,7.5,8.5,4.5,6.5,5.5,5.5,5.5,6.0,7.5,5.0,1,0,0
49851016,8.0,6.0,7.0,8.5,5.0,7.0,7.0,6.5,8.5,8.0,0,0,0
50550377,6.0,6.0,7.5,6.5,8.5,8.0,8.0,6.0,6.5,8.5,1,1,0
50624608,6.5,6.0,5.0,3.0,2.5,4.0,5.0,6.5,4.5,5.0,1,0,1
50705977,8.0,7.5,5.0,6.5,5.0,7.5,7.0,7.0,7.5,5.0,0,0,0
51160177,7.5,8.0,7.5,6.5,5.5,7.5,7.5,8.5,6.5,8.0,0,0,0
51735114,8.0,7.0,8.0,8.0,7.0,7.5,8.0,6.5,8.0,8.5,0,0,0
51980661,6.0,6.5,6.0,7.5,6.0,6.5,6.5,7.0,6.0,7.0,1,1,0
52564260,7.5,6.0,5.5,9.5,0.0,8.5,4.5,6.5,5.0,8.0,0,1,0
52854850,9.0,6.0,5.5,5.5,5.0,6.5,7.0,6.5,6.0,7.5,0,0,0
53656806,8.5,6.5,6.5,9.0,6.5,9.0,7.5,9.0,9.5,8.5,0,0,0
54065327,7.5,8.0,8.0,7.0,6.0,6.5,7.5,8.5,6.5,8.0,1,0,0
54363773,6.5,6.5,1.0,5.5,3.5,5.0,5.5,5.0,5.5,5.5,1,0,1
54422973,7.5,7.0,8.0,8.5,8.0,8.0,9.5,9.0,9.0,8.0,0,1,0
54460013,8.5,7.5,9.0,8.5,7.5,9.5,8.0,9.5,9.0,9.0,0,0,0
54483983,7.0,7.0,7.5,8.0,7.0,5.5,8.0,6.5,6.0,7.5,1,0,1
54649484,7.5,5.5,6.0,8.0,5.0,6.5,7.5,5.5,7.0,6.5,0,0,1
